地點,評分,緯,經
大天后宮,5,22.996624,120.201576
五妃廟,4.8,22.982504,120.20504
天壇,4.1,22.993893,120.203972
太平境基督教會教堂,3.8,22.99354,120.20536
日本愛國婦人會館,3.8,22.989065,120.2043
北極殿,4.4,22.994471,120.204735
台南大學,5,22.985142,120.208244
台南公園(中山公園),4.8,23.004049,120.213593
台南孔廟,4.1,22.990545,120.204285
台南放送局,3.8,22.98819,120.204529
台南武聖夜市,2.7,23.004316,120.190636
台南氣象博物館,3.8,22.993521,120.205231
台鹽宿舍,1,23.036693,120.12496
台灣土地銀行,4.1,22.992117,120.203178
台灣府城隍廟,4.1,22.992029,120.209068
永華宮,5,22.989449,120.205849
合同廳舍,3.8,22.992569,120.204247
吳園藝文中心,4.1,22.994205,120.206085
赤崁樓,5,22.997108,120.202217
延平郡王祠,4.1,22.987925,120.207573
武德殿,3.8,22.99025,120.20256
法華寺,3.8,22.984047,120.209641
祀典武廟,5,22.996511,120.202232
原台南市警察局(台南市立美術館預定館址),3.8,22.99118,120.205063
原林百貨,3.8,22.991905,120.202789
國立台灣文學館,5,22.99172,120.204659
嘉南農田水利會,3.8,22.990778,120.205093
鄭氏家廟,3.8,22.992296,120.202927
三山國王廟,3.8,23.001677,120.202911
小北觀光夜市,3.6,23.007797,120.206779
山林事務所,3.8,22.991558,120.203766
花園夜市,4.6,23.011505,120.2005
重慶寺,3.8,22.992155,120.203629
開元寺,1.7,23.010992,120.22316
開基天后宮,4.1,22.99958,120.202339
夕遊出張所,4,23.002439,120.156604
台南市政府,2.9,22.991415,120.185013
札哈木原住民公園,2.8,22.995206,120.163974
同記安平豆花,3.4,23.000058,120.153749
安平小砲台,3.1,22.999489,120.158533
安平天后宮,3.1,23.000476,120.160913
安平古堡,4,23.001411,120.160225
安平海頭社魏宅,2.8,23.002039,120.163037
安平蚵灰窯文化館,2.8,23.002217,120.164824
安平樹屋,3.7,23.002246,120.158294
朱玖瑩紀念館,2.8,23.003386,120.160286
妙壽宮,3.1,22.999452,120.161479
依蕾特布丁,3.2,22.998152,120.174202
東興洋行,2.8,23.001903,120.15873
林默娘公園,2.8,22.994842,120.161864
金城遊憩馬頭(安平港碼頭),2.8,22.995586,120.155731
秋茂園,2.5,22.985833,120.1525
海山館(安平鄉土館),3.1,23.001547,120.162673
船博物館及德陽艦展示,3.7,22.988662,120.156507
港濱歷史公園,3.1,22.995069,120.162358
運河博物館,2.8,22.998417,120.163908
漁人碼頭,4,22.9981364,120.1635312
億載金城,3.4,22.987642,120.159048
德記洋行,2.8,23.003378,120.159816
德國領事館(第三信用合作社安平分社),2.8,23.00241,120.161308
盧經堂宅,2.8,23.000294,120.160144
觀夕平台,3.1,22.990305,120.147278
觀光魚市,2.5,22.993492,120.152832
四草大眾廟,2.2,23.019243,120.135093
四草砲台,1,23.018977,120.135189
四草綠色隧道,1.6,23.019243,120.135093
鹿耳門天后宮,2.2,23.037226,120.124591
鎮門宮,2.2,23.020823,120.110352
鹽田生態文化村,1,23.026312,120.141294
大東夜市,4.2,22.98237,120.217575
大東門,3.9,22.987064,120.217468
巴克禮紀念公園,2,22.973152,120.222252
台南火車站,5,22.997192,120.212402
台南市立文化中心,2.9,22.974821,120.221565
台南神學院,3.6,22.988539,120.214035
台灣台南市東門圓環,5,22.988905,120.211754
成大醫院,4.1,23.0014,120.220665
成功大學光復校區,4,22.999079,120.216232
兌悅門,3.1,23.00075,120.19445
原台南知事官邸,3.9,22.992862,120.211948
巽方炮臺(光華街),3.1,22.984285,120.219489
大南門城,3.8,22.98678,120.204483
水萍塭公園,3.2,22.986849,120.192841
體育公園,4.2,22.981262,120.206039
大億麗緻酒店,4.6,22.988007,120.197693
佳佳西市場旅店,3.6,22.994106,120.198517
臺南大飯店,2.8,22.997301,120.210693
天下大飯店,3.3,22.998932,120.203484
首相大飯店,3.9,22.998871,120.207619
家新大飯店,1.7,23.005688,120.199883
朝代大飯店,2.6,22.998032,120.207748
統茂維悅大酒店,2.9,22.996916,120.172836
臺邦商旅,2.4,22.988745,120.184326
台糖長榮酒店,2.2,22.974337,120.220558
香格里拉臺南遠東國際大飯店,2,22.996901,120.2136
公11立體地下停車場,5,22.990361,120.202345
海安公6停車場,4,23.002313,120.200431
小北商場路外停車場,3,23.009055,120.207528
北園公兒23路外停車場,1.8,23.012929,120.225059
台南市立圖書館廣場停車場,3.8,23.001711,120.209019
安平港港邊歷史公園廣場停車場,3.2,22.994852,120.163376
安億公有收費停車場,4.4,22.996166,120.164268
林默娘紀念公園路外停車場,4,22.99681,120.163867
停二路外停車場,2.2,22.99677,120.186009
億載金城北側停六路外停車場,3.6,22.991136,120.15928
文化中心廣二廣場停車場,1,22.973241,120.219947
青年路停E8路外停車場,2.6,22.991269,120.213952
忠烈祠停車場,3.2,22.980926,120.21077
客家文化會館路外停車場,1.6,22.985687,120.19474
體育之心路外停車場,3.6,22.978454,120.204913
小西門(大億麗緻),4.6,22.988897,120.197685
中山、民權路口,4.4,22.993911,120.206947
中正、西門路口,2.2,22.992242,120.19831
中正路,3.2,22.992072,120.201631
公園國小,3.2,23.000095,120.208068
水萍塭公園,2.6,22.986953,120.191802
火車站(南站),3.2,22.997015,120.211233
台南公園(公園路),2.8,23.002937,120.210029
台南東站,4.4,22.996374,120.211044
成功路,3.2,22.998615,120.204635
西門、民權路口,3.2,22.996731,120.199952
忠義路,3.8,22.991367,120.202743
家樂福,2.6,22.988798,120.187591
新光三越新天地,2.8,22.986743,120.197479
中樓,2,23.007014,120.219017
台南二中,2,23.003597,120.213631
台鐵大橋站,1.4,23.019307,120.224348
延平市場,2,23.013387,120.212821
建成市場,2.4,23.008187,120.210074
高鐵接駁-奇美醫院,2,23.021257,120.22174
開元,1.4,23.009258,120.223633
高鐵接駁-安億橋,2.8,22.995853,120.163635
高鐵接駁-國賓影城,1.6,22.995574,120.234325
高鐵接駁-崇明路口,2,22.977853,120.22055
高鐵接駁-富強市場,2,22.982625,120.225769
台南站,2.8,22.98208,120.197761
高鐵接駁-大林新城,2.4,22.977376,120.213569
高鐵接駁-台南都會公園,1.6,22.938385,120.221069
高鐵接駁-台糖嘉年華,1.6,22.947521,120.219444
國光號台南保養場(府平公園對面),3.2,22.987949,120.173164
中正路-環河街交叉口,2,22.993817,120.192216
北門路-衛民街交叉口,5,22.992799,120.211646
