名稱,TWD97 TM2 經,TWD97 TM2 緯,demand,weight
大天后宮,168147.85,2544132.13,294,5
五妃廟,168494.51,2542566.54,275,4.8
天壇,168391.85,2543828.36,113,4.1
太平境基督教會教堂,168533.94,2543788.5,10,3.8
日本愛國婦人會館,168422.58,2543293.52,13,3.8
北極殿,168470.43,2543891.94,128,4.4
台南大學,168824.6,2542856.9,323,5
台南公園(中山公園),169384.27,2544947.72,246,4.8
台南孔廟,168421.93,2543457.43,118,4.1
台南放送局,168445.53,2543196.5,66,3.8
台南武聖夜市,167030.97,2544990.09,53,2.7
台南氣象博物館,168520.71,2543786.46,63,3.8
台鹽宿舍,160319.49,2548614.27,54,1
台灣土地銀行,168309.38,2543632.13,81,4.1
台灣府城隍廟,168913.2,2543619.11,124,4.1
永華宮,168581.63,2543335.19,254,5
合同廳舍,168419.25,2543681.59,34,3.8
吳園藝文中心,168608.67,2543861.74,90,4.1
赤崁樓,168213.86,2544185.37,239,5
延平郡王祠,168757.47,2543165.46,77,4.1
武德殿,168244.9,2543425.72,52,3.8
法華寺,168967.19,2542734.87,18,3.8
祀典武廟,168215.04,2544119.25,251,5
原台南市警察局(台南市立美術館預定館址),168502.08,2543527.31,2,3.8
原林百貨,168269.37,2543608.87,13,3.8
國立台灣文學館,168460.98,2543587.34,261,5
嘉南農田水利會,168504.91,2543482.78,17,3.8
鄭氏家廟,168283.75,2543652.09,55,3.8
三山國王廟,168287.76,2544690.95,48,3.8
小北觀光夜市,168687.97,2545366.53,33,3.6
山林事務所,168369.33,2543569.89,52,3.8
花園夜市,168046.53,2545780.66,261,4.6
重慶寺,168355.64,2543636.08,29,3.8
開元寺,170369.11,2545711.36,36,1.7
開基天后宮,168227.86,2544459.05,91,4.1
夕遊出張所,163540.93,2544801.9,251,4
台南市政府,166446.58,2543564.62,252,2.9
札哈木原住民公園,164291.92,2543996.58,41,2.8
同記安平豆花,163246.72,2544539.91,228,3.4
安平小砲台,163736.81,2544474.07,86,3.1
安平天后宮,163981.44,2544581.98,111,3.1
安平古堡,163911.49,2544685.92,359,4
安平海頭社魏宅,164200.18,2544753.82,28,2.8
安平蚵灰窯文化館,164383.49,2544772.49,43,2.8
安平樹屋,163714.06,2544779.53,194,3.7
朱玖瑩紀念館,163919,2544904.6,4,2.8
妙壽宮,164038.81,2544468.25,85,3.1
依蕾特布丁,165342.37,2544316.88,230,3.2
東興洋行,163758.54,2544741.29,33,2.8
林默娘公園,164075.37,2543957.5,41,2.8
金城遊憩馬頭(安平港碼頭),163447.06,2544043.5,39,2.8
秋茂園,163109.57,2542965.35,103,2.5
海山館(安平鄉土館),164162.55,2544699.55,92,3.1
船博物館及德陽艦展示,163522.21,2543276.27,202,3.7
港濱歷史公園,164126.16,2543982.35,92,3.1
運河博物館,164287.18,2544352.21,19,2.8
漁人碼頭,164248.37,2544321.35,340,4
億載金城,163782.09,2543161.82,126,3.4
德記洋行,163870.81,2544903.99,61,2.8
德國領事館(第三信用合作社安平分社),164023.16,2544795.92,26,2.8
盧經堂宅,163902.48,2544562.27,22,2.8
觀夕平台,162577.03,2543463.69,125,3.1
觀光魚市,163148.51,2543813.32,89,2.5
四草大眾廟,161346.64,2546675.65,308,2.2
四草砲台,161356.3,2546646.14,70,1
四草綠色隧道,161346.64,2546675.65,163,1.6
鹿耳門天后宮,160282.02,2548673.53,276,2.2
鎮門宮,158811.59,2546865.81,246,2.2
鹽田生態文化村,161986.86,2547454.75,62,1
大東夜市,169779.68,2542544.8,127,4.2
大東門,169771.48,2543064.67,116,3.9
巴克禮紀念公園,170253.81,2541521.45,107,2
台南火車站,169258.09,2544189.02,313,5
台南市立文化中心,170184.35,2541706.65,315,2.9
台南神學院,169420.37,2543229.89,44,3.6
台灣台南市東門圓環,169186.72,2543271.68,255,5
成大醫院,170107.7,2544650.49,251,4.1
成功大學光復校區,169651.86,2544395.89,127,4
兌悅門,167419.79,2544593.04,43,3.1
原台南知事官邸,169208.97,2543709.77,90,3.9
巽方炮臺(光華街),169977.05,2542755.82,2,3.1
大南門城,168439.97,2543040.38,67,3.8
水萍塭公園,167246.37,2543054.54,105,3.2
體育公園,168596.2,2542428.45,164,4.2
大億麗緻酒店,167744.54,2543180.05,159,4.6
佳佳西市場旅店,167832.71,2543854.99,124,3.6
臺南大飯店,169082.95,2544202.04,97,2.8
天下大飯店,168344.85,2544386.65,114,3.3
首相大飯店,168768.74,2544377.6,135,3.9
家新大飯店,167979.76,2545136.82,59,1.7
朝代大飯店,168781.46,2544284.62,90,2.6
統茂維悅大酒店,165201.55,2544180.79,100,2.9
臺邦商旅,166374.5,2543269.33,83,2.4
台糖長榮酒店,170080.81,2541653.6,76,2.2
香格里拉臺南遠東國際大飯店,169380.74,2544156.14,69,2
公11立體地下停車場,168222.92,2543438.13,202,5
海安公6停車場,168033.9,2544762.77,162,4
小北商場路外停車場,168765.5,2545505.43,121,3
北園公兒23路外停車場,170564.91,2545924.83,73,1.8
台南市立圖書館廣場停車場,168913.96,2544691.33,154,3.8
安平港港邊歷史公園廣場停車場,164230.39,2543957.73,129,3.2
安億公有收費停車場,164322.67,2544102.72,178,4.4
林默娘紀念公園路外停車場,164281.96,2544174.27,162,4
停二路外停車場,166551.98,2544157.07,89,2.2
億載金城北側停六路外停車場,163808.09,2543548.61,146,3.6
文化中心廣二廣場停車場,170017.51,2541532.56,40,1
